Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Dicofre_ParishCode_of_Public_Transportation,Demand_weight
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131726,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA DO CONDE,131603,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA DO CONDE,131611,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,TROFA,131809,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131704,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131712,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131703,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131702,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131723,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131728,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131709,0
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110633,0.24121
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110654,0.205461
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110662,0.124824
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110618,0.056452
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,110726,0.035846
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110621,0.032402
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110658,0.030997
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110655,0.030715
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110657,0.029977
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110610,0.026386
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110666,0.024225
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110639,0.019116
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110608,0.016486
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110656,0.016433
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110665,0.013545
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110667,0.012958
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110661,0.01203
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110660,0.011091
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110659,0.009284
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,110727,0.008091
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110663,0.006876
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110611,0.006788
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,OEIRAS,111012,0.006293
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110602,0.00561
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110664,0.00417
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110607,0.004124
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,110601,0.002606
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,111512,0.001822
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,ODIVELAS,111603,0.001821
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,111513,0.000417
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,OEIRAS,111013,0.000295
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,110731,0.000202
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,ODIVELAS,111609,0.000171
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,111515,0.000169
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,ALMADA,150312,0.000148
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131210,0.000138
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131217,0.000123
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,ODIVELAS,111610,0.000088
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,ALMADA,150314,0.000074
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,ALMADA,150315,0.000074
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,111517,0.000072
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131218,0.000071
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,OEIRAS,111002,0.000034
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,111514,0.000034
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131730,0.000033
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,110707,0.000029
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,110730,0.000029
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131216,0.000028
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,ODIVELAS,111608,0.000027
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,ALMADA,150313,0.000026
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LOURES,110728,0.000015
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131202,0.000014
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,SETÚBAL,SEIXAL,151005,0.000012
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MATOSINHOS,130812,0.000012
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MAIA,130608,0.000011
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MATOSINHOS,130814,0.000003
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MATOSINHOS,130813,0.000002
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,SINTRA,111126,0.000002
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,111516,0.000002
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131203,0.000002
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131727,0.000002
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131704,0.000001
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131709,0.000001
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MATOSINHOS,130811,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MAIA,130618,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,GONDOMAR,130408,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131726,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MAIA,130601,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,PORTO,131211,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MAIA,130617,0
R1 - AM Lisboa,Lisboa,Loures,R2 - AM Porto,PORTO,MAIA,130609,0
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110654,0.165056
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110618,0.089209
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110657,0.078502
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110660,0.066473
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110639,0.064407
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110661,0.061527
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110666,0.051181
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110665,0.050233
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110656,0.046586
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110658,0.041734
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110655,0.035672
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110608,0.033026
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110621,0.032456
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110633,0.030403
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110659,0.02828
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110610,0.02457
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110663,0.020064
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110662,0.020032
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110667,0.015463
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110611,0.013647
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110602,0.008925
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110607,0.004597
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110601,0.004268
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,111513,0.003307
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,111512,0.003077
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,OEIRAS,111012,0.002091
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,OEIRAS,111013,0.001338
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,110727,0.000744
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,111515,0.000484
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,ODIVELAS,111603,0.000476
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,110726,0.00036
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,ALMADA,150312,0.000285
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,111517,0.000247
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,111514,0.000205
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,110664,0.000194
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,ODIVELAS,111608,0.000112
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131727,0.000078
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MATOSINHOS,130812,0.000077
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,ALMADA,150315,0.000069
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,ALMADA,150314,0.000069
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131202,0.000067
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131217,0.000059
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,ODIVELAS,111609,0.000047
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,ODIVELAS,111610,0.000041
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,110730,0.000035
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,110707,0.000035
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,ALMADA,150313,0.000025
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131203,0.000021
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MATOSINHOS,130813,0.00002
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,SINTRA,111126,0.000019
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,111516,0.000019
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131218,0.000014
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MATOSINHOS,130814,0.000013
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,SETÚBAL,SEIXAL,151005,0.00001
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,110728,0.00001
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131216,0.000008
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,OEIRAS,111002,0.000007
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131730,0.000006
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MATOSINHOS,130811,0.000005
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LOURES,110731,0.000005
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,130408,0.000005
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,130609,0.000002
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131210,0.000002
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,PORTO,131211,0.000001
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,130413,0.000001
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VALONGO,131503,0.000001
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,130616,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VILA DO CONDE,131603,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,VALONGO,131501,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,130603,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,130412,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,SANTO TIRSO,131402,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,130601,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,MAIA,130617,0
R1 - AM Lisboa,Lisboa,Mafra,R2 - AM Porto,PORTO,GONDOMAR,130415,0
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110639,0.17016
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110611,0.104564
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110654,0.090845
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110610,0.079119
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110618,0.074461
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110608,0.067301
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110657,0.060498
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110656,0.058478
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110666,0.041929
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110655,0.041113
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110633,0.024883
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110658,0.023105
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110660,0.01888
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110659,0.017579
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110665,0.015584
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,ODIVELAS,111608,0.015442
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110663,0.014139
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110662,0.01375
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110667,0.011662
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110621,0.010973
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110661,0.010668
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,OEIRAS,111012,0.007413
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110664,0.007369
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110602,0.007083
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,ODIVELAS,111603,0.005865
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110607,0.001428
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,111512,0.001192
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,110601,0.001131
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,ODIVELAS,111609,0.000638
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,110726,0.00059
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,111513,0.000469
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,111514,0.000354
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,110727,0.00034
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,111515,0.000243
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,ODIVELAS,111610,0.000232
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,110730,0.000121
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,110707,0.000121
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,OEIRAS,111013,0.000066
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,ALMADA,150312,0.000058
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,111517,0.000046
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,ALMADA,150315,0.000016
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,ALMADA,150314,0.000016
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,110731,0.000015
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,131217,0.000013
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MATOSINHOS,130811,0.00001
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,ALMADA,150313,0.000007
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,131218,0.000006
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VALONGO,131503,0.000004
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,111516,0.000003
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,SINTRA,111126,0.000003
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,SETÚBAL,SEIXAL,151005,0.000002
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,131216,0.000002
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LOURES,110728,0.000002
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,OEIRAS,111002,0.000001
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,130601,0.000001
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VALONGO,131505,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131727,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131730,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,131211,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,GONDOMAR,130412,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,131210,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,SANTO TIRSO,131402,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VALONGO,131501,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MATOSINHOS,130812,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,130619,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MATOSINHOS,130814,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,GONDOMAR,130413,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PORTO,131202,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,GONDOMAR,130408,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,MAIA,130603,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,VALONGO,131506,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,SANTO TIRSO,131401,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,131019,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,131001,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,131011,0
R1 - AM Lisboa,Lisboa,Odivelas,R2 - AM Porto,PORTO,PAREDES,131013,0
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110658,0.246656
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,OEIRAS,111012,0.123773
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110610,0.073892
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110608,0.063808
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110666,0.050383
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110659,0.046869
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110654,0.046313
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110639,0.043705
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110665,0.03463
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110660,0.03397
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110657,0.033581
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110662,0.032917
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110602,0.030884
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110633,0.024332
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110656,0.023182
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110601,0.019036
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110655,0.014639
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110661,0.01274
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110611,0.009609
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110621,0.007229
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,AMADORA,111512,0.006674
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,110667,0.00647
